name,latitude,longitude
Smiths,40.75132,-111.86671
Produce Express LLC Distribuid,40.7576,-111.908
Rancho Markets,40.69939,-111.88574
Smiths Food & Drug Center,40.72458,-111.8647
Jade Market,40.76482,-111.90154
Fresh Market,40.69854,-111.86627
Kessimakis Produce Inc,40.74748,-111.90525
Two Dancing Cats,40.73133,-111.85965
Broadway Shopping Center,40.7626,-111.88415
Honeyville Grain Inc,40.78271,-112.01558
Harmons,40.76749,-111.88751
Schiff Nutrition Group Inc,40.72783,-112.01388
Associated Food Stores Inc,40.72736,-111.9434
Super Saver,40.78686,-111.93956
Smiths Food & Drug Center,40.78256,-111.92481
Calis Natural Foods,40.73323,-111.90233
Japan-Sage Market,40.73663,-111.8907
Whole Foods Market,40.7236,-111.8586
Fresh Market,40.72619,-111.82517
Fresh Market,40.73399,-111.86634
Whole Foods Market,40.75749,-111.87129
Smiths Food And Drug,40.77612,-111.87733
Safeway,40.73033,-111.96911
Harmons Brickyard,40.70135,-111.85555
Farmers Market,40.76171,-111.9012
Core-Mark International Inc,40.70539,-111.92147
USANA Health Sciences  Inc.,40.71158,-111.98019
SUPERVALU Inc.,40.77251,-111.90276
Joe Granatos Fruit & Produce,40.76824,-111.94433
Muir Copper Canyon Farms,40.74847,-111.9764
India Unlimited,40.73467,-111.82033
Shop N Go,40.73354,-111.84187
Liberty Heights Fresh,40.74186,-111.85985
HCG Diet,40.7309,-111.89011
A & Z Produce Co,40.75865,-111.90156
Southeast Market,40.7496,-111.87911
Earth Goods General Store,40.7419,-111.86519
Smiths Express,40.72727,-111.85976
Elite Discount Nutrition,40.72557,-111.85322
Youngs Market Co LLC,40.72366,-111.85439
Neighbors Market,40.77041,-111.88808
ABC Market,40.77042,-111.88445
Sunflower Farmers Market,40.7645,-111.87267
Oriental Food Market,40.75467,-111.87081
Dans Market,40.74155,-111.82763
La Pequenita Market,40.71155,-111.88849
E Free Market,40.76379,-111.89088
Utah Food Bank,40.74734,-111.9105
Crossroads Urban Center,40.7617,-111.87923
Hildegards Food Pantry,40.76737,-111.88379
The Community Co-op,40.73227,-111.91143
